from,to,weight
MAJORS,EAU,4
MAJORS,EMERGENCY_class,52
MAJORS,OTF POOL,29
MAJORS,RAT,2
MAJORS,RESUS,5
MAJORS,SAA,8
MAJORS,T01,1
MAJORS,TAF,3
OTF POOL,BSNQ,1
OTF POOL,EAU,11
OTF POOL,INPATIENT_class,1
OTF POOL,MFAW,1
OTF POOL,NCNQ,1
OTF POOL,T01,21
OTF POOL,T03,2
OTF POOL,T06H,1
OTF POOL,T08N,4
OTF POOL,T08S,1
OTF POOL,T09N,2
OTF POOL,T14N,1
OTF POOL,T16S,1
OTF POOL,UTC,1
RAT,EMERGENCY_class,17
RAT,MAJORS,76
RAT,OTF POOL,2
RAT,RESUS,4
RAT,SAA,7
RAT,TAF,2
RAT,UTC,4
RESUS,EMERGENCY_class,2
RESUS,MAJORS,7
RESUS,OTF POOL,6
RESUS,SAA,1
RESUS,UTC,1
SAA,EMERGENCY_class,9
SAA,OTF POOL,12
SAA,RESUS,2
TAF,EMERGENCY_class,5
TRIAGE,EMERGENCY_class,1
TRIAGE,MAJORS,4
TRIAGE,RAT,21
TRIAGE,SAA,3
TRIAGE,UTC,16
UTC,EMERGENCY_class,80
UTC,MAJORS,2
UTC,RAT,1
UTC,SAA,4
Waiting,MAJORS,15
Waiting,RAT,88
Waiting,RESUS,6
Waiting,TRIAGE,45
Waiting,UTC,65
