from,to,weight
DIAGNOSTICS,EMERGENCY_class,1
MAJORS,EAU,2
MAJORS,EMERGENCY_class,69
MAJORS,OTF POOL,36
MAJORS,RAT,6
MAJORS,RESUS,5
MAJORS,T01,3
MAJORS,T14S,1
MAJORS,TAF,3
MAJORS,TRIAGE,2
MAJORS,UTC,2
OTF POOL,EAU,9
OTF POOL,EMERGENCY_class,1
OTF POOL,HASU,7
OTF POOL,T01,13
OTF POOL,T03,1
OTF POOL,T06C,3
OTF POOL,T06H,3
OTF POOL,T08S,1
OTF POOL,T09N,3
OTF POOL,T09S,1
OTF POOL,T10S,3
OTF POOL,T13N,1
OTF POOL,T16N,1
OTF POOL,THP3,1
OTF POOL,TRIAGE,1
OTF POOL,UCHT00CDU,6
OTF POOL,WSSS,1
OTF POOL,WSU3,1
RAT,EMERGENCY_class,10
RAT,MAJORS,104
RAT,OTF POOL,2
RAT,RESUS,9
RAT,TAF,1
RAT,TRIAGE,6
RAT,UTC,20
RESUS,EMERGENCY_class,3
RESUS,MAJORS,12
RESUS,OTF POOL,13
RESUS,T03,1
TAF,EMERGENCY_class,4
TRIAGE,EMERGENCY_class,168
TRIAGE,MAJORS,9
TRIAGE,OTF POOL,1
TRIAGE,RAT,35
TRIAGE,RESUS,3
TRIAGE,UTC,21
UTC,EMERGENCY_class,40
UTC,OTF POOL,5
UTC,RAT,1
UTC,T13S,1
UTC,TRIAGE,1
UTC,Waiting,1
Waiting,DIAGNOSTICS,1
Waiting,MAJORS,4
Waiting,RAT,110
Waiting,RESUS,12
Waiting,TRIAGE,227
Waiting,UCHT00CDU,1
Waiting,UTC,6
