"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"RAT","MAJORS","RAT~MAJORS",48.4,43.5,58,0.468051004882847,0.399137931034483,0.533551554828151,1,1,1
"Arrival","RAT","Arrival~RAT",40.0333333333333,30.5,49.5,0.464782506384939,0.415948275862069,0.53629792583281,1,1,1
"Arrival","TRIAGE","Arrival~TRIAGE",34.4166666666667,17.5,49,0.645276386791054,0.566071428571429,0.737816764132553,1,1,1
"MAJORS","Admitted","MAJORS~Admitted",29.1186440677966,24,35,0,0,0,1,1,1
"MAJORS","Discharged","MAJORS~Discharged",23.2542372881356,16.5,27,0.996633709981168,1,1,1,1,1
"TRIAGE","RAT","TRIAGE~RAT",14.8474576271186,7,21,0.54539836397807,0.422619047619048,0.666666666666667,1,1,1
"TRIAGE","UTC","TRIAGE~UTC",10.6666666666667,5,11.25,0.607678660568687,0.5,0.75,1,1,1
"UTC","Discharged","UTC~Discharged",9.63157894736842,4,11,1,1,1,1,1,1
"TRIAGE","Discharged","TRIAGE~Discharged",9.13793103448276,3.25,12,1,1,1,1,1,1
"RESUS","MAJORS","RESUS~MAJORS",5.82142857142857,4,7,0.24808737889095,0.0848484848484848,0.38125,1,1,1
"Arrival","RESUS","Arrival~RESUS",5.3448275862069,4,7,0.174460740409016,0,0.285714285714286,1,1,1
"RESUS","Admitted","RESUS~Admitted",4.89655172413793,3.25,6,0,0,0,1,1,1
"TAF","Discharged","TAF~Discharged",3.79310344827586,2,5,1,1,1,1,1,1
"RAT","TRIAGE","RAT~TRIAGE",3.69230769230769,2,5,0.735828754578755,0.575,1,1,1,1
"UTC","Admitted","UTC~Admitted",3.66071428571429,2,5,0,0,0,1,1,1
"MAJORS","TAF","MAJORS~TAF",3.61818181818182,2,5,0.967207792207792,1,1,1,1,1
"RAT","UTC","RAT~UTC",3.46,2,4.75,0.72378354978355,0.525,1,1,1,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",3.30612244897959,2,4,0.633697764820214,0.5,1,1,1,1
"RAT","RESUS","RAT~RESUS",3.03636363636364,2,4,0.157012987012987,0,0.333333333333333,1,1,1
"Arrival","UTC","Arrival~UTC",2.52380952380952,1,3,0.634920634920635,0.5,1,1,1,1
"MAJORS","RAT","MAJORS~RAT",2.34090909090909,1,3,0.535984848484849,0.1875,1,1,1,1
"MAJORS","RESUS","MAJORS~RESUS",2.2962962962963,1,3,0.107098765432099,0,0,1,1,1
"Arrival","MAJORS","Arrival~MAJORS",2.14634146341463,1,3,0.621273712737127,0.333333333333333,1,1,1,1
"UTC","MAJORS","UTC~MAJORS",2.09090909090909,1,3,0.546464646464646,0,1,1,1,1
"UTC","TRIAGE","UTC~TRIAGE",1.95652173913043,1,2,0.642753623188406,0.166666666666667,1,1,1,1
"TRIAGE","RESUS","TRIAGE~RESUS",1.59375,1,2,0.354166666666667,0,0.5,1,1,1
"TRIAGE","Admitted","TRIAGE~Admitted",1.58823529411765,1,2,0,0,0,1,1,1
"RAT","TAF","RAT~TAF",1.53571428571429,1,2,1,1,1,1,1,1
"RESUS","TRIAGE","RESUS~TRIAGE",1.5,1.25,1.75,1,1,1,1,1,1
"MAJORS","UTC","MAJORS~UTC",1.33333333333333,1,1,0.678571428571429,0,1,1,1,1
"RAT","Discharged","RAT~Discharged",1.33333333333333,1,1,1,1,1,1,1,1
"RESUS","RAT","RESUS~RAT",1.3,1,1,0.4,0,1,1,1,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",1.25,1,1.25,0.875,0.875,1,1,1,1
"UTC","RAT","UTC~RAT",1.22222222222222,1,1,0.694444444444444,0.125,1,1,1,1
"RESUS","Discharged","RESUS~Discharged",1.13793103448276,1,1,0.982758620689655,1,1,1,1,1
"TAF","MAJORS","TAF~MAJORS",1.0625,1,1,0.75,0.75,1,1,1,1
"Arrival","Discharged","Arrival~Discharged",1,1,1,1,1,1,1,1,1
"Arrival","TAF","Arrival~TAF",1,1,1,0.666666666666667,0.5,1,1,1,1
"RAT","Admitted","RAT~Admitted",1,1,1,0,0,0,1,1,1
"RESUS","TAF","RESUS~TAF",1,1,1,1,1,1,1,1,1
"RESUS","UTC","RESUS~UTC",1,1,1,1,1,1,1,1,1
"TAF","Admitted","TAF~Admitted",1,1,1,0,0,0,1,1,1
"TAF","RAT","TAF~RAT",1,1,1,0.833333333333333,1,1,1,1,1
"TAF","RESUS","TAF~RESUS",1,1,1,1,1,1,1,1,1
"TAF","TRIAGE","TAF~TRIAGE",1,1,1,1,1,1,1,1,1
"TRIAGE","TAF","TRIAGE~TAF",1,1,1,1,1,1,1,1,1
"UTC","RESUS","UTC~RESUS",1,1,1,0.6,0,1,1,1,1
"UTC","TAF","UTC~TAF",1,1,1,1,1,1,1,1,1
